,연도,날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고,시리즈
363,2018,,18:30,넥센0vs5KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
364,2018,,18:30,NC5vs4한화,리뷰,하이라이트,MS-TD-CMB,TJ-RKNN-RTM-RDK-R,대전,-,"0,9"
365,2018,06.01(금),18:30,삼성5vs3NC,리뷰,하이라이트,MS-T,T-RKNN-RGM-R,마산,-,"0,9"
366,2018,,18:30,넥센1vs3LG,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
367,2018,,18:30,KT1vs8SK,리뷰,하이라이트,SS-T,,문학,-,"0,9"
368,2018,,18:30,한화13vs6롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
369,2018,,18:30,두산5vs3KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
370,2018,06.02(토),17:00,삼성6vs4NC,리뷰,하이라이트,MS-T,T-RKNN-RGM-R,마산,-,"0,9"
371,2018,,17:00,넥센6vs10LG,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
372,2018,,17:00,KT1vs6SK,리뷰,하이라이트,SS-T,,문학,-,"0,9"
373,2018,,17:00,한화3vs2롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
374,2018,,17:00,두산10vs0KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
375,2018,06.03(일),17:00,삼성8vs7NC,리뷰,하이라이트,MS-T,T-RKNN-RGM-R,마산,-,"0,9"
376,2018,,17:00,넥센0vs8LG,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
377,2018,,17:00,KT6vs3SK,리뷰,하이라이트,SS-T,,문학,-,"0,9"
378,2018,,17:00,한화0vs6롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
379,2018,,17:00,두산11vs12KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
380,2018,06.05(화),18:30,롯데12vs6NC,리뷰,하이라이트,SPO-2T,KNN-RPM-R,마산,-,"0,9"
381,2018,,18:30,한화3vs7LG,리뷰,하이라이트,SPO-T,,잠실,-,"0,9"
382,2018,,18:30,삼성2vs6SK,리뷰,하이라이트,MS-T,T-R,문학,-,"0,9"
383,2018,,18:30,KIA11vs2KT,리뷰,하이라이트,SS-T,,수원,-,"0,9"
384,2018,,18:30,두산6vs13넥센,리뷰,하이라이트,KN-T,,고척,-,"0,9"
385,2018,06.06(수),14:00,한화5vs1LG,리뷰,하이라이트,S-T,,잠실,-,"0,9"
386,2018,,14:00,KIA5vs2KT,리뷰,하이라이트,M-T,,수원,-,"0,9"
387,2018,,14:00,두산7vs3넥센,리뷰,하이라이트,K-2T,,고척,-,"0,9"
388,2018,,17:00,롯데10vs5NC,리뷰,하이라이트,SS-TSPO-T,KNN-RPM-RGM-R,마산,-,"0,9"
389,2018,,17:00,삼성2vs7SK,리뷰,하이라이트,KN-TMS-TSPO-2T,T-R,문학,-,"0,9"
390,2018,06.07(목),18:30,롯데4vs5NC,리뷰,하이라이트,SPO-2T,KNN-RPM-RGM-R,마산,-,"0,9"
391,2018,,18:30,한화5vs6LG,리뷰,하이라이트,SPO-T,,잠실,-,"0,9"
392,2018,,18:30,삼성6vs2SK,리뷰,하이라이트,MS-T,T-R,문학,-,"0,9"
393,2018,,18:30,KIA2vs1KT,리뷰,하이라이트,SS-T,,수원,-,"0,9"
394,2018,,18:30,두산3vs0넥센,리뷰,하이라이트,KN-T,,고척,-,"0,9"
395,2018,06.08(금),18:30,NC1vs6두산,리뷰,하이라이트,MS-T,KNN-R,잠실,-,"0,9"
396,2018,,18:30,KIA6vs9롯데,리뷰,하이라이트,SS-T,KNN-RPM-R,사직,-,"0,9"
397,2018,,18:30,LG9vs5삼성,리뷰,하이라이트,SPO-2T,T-RDM-R,대구,-,"0,9"
398,2018,,18:30,넥센11vs5KT,리뷰,하이라이트,KN-T,,수원,-,"0,9"
399,2018,,18:30,SK5vs7한화,리뷰,하이라이트,SPO-TD-CMB,TJ-RTM-RDK-R,대전,-,"0,9"
400,2018,06.09(토),17:00,NC0vs3두산,리뷰,하이라이트,MS-T,KNN-R,잠실,-,"0,9"
401,2018,,17:00,KIA7vs5롯데,리뷰,하이라이트,SS-T,KNN-RPM-R,사직,-,"0,9"
402,2018,,17:00,LG6vs0삼성,리뷰,하이라이트,SPO-2T,T-R,대구,-,"0,9"
403,2018,,17:00,넥센2vs5KT,리뷰,하이라이트,KN-T,,수원,-,"0,9"
404,2018,,17:00,SK4vs2한화,리뷰,하이라이트,SPO-TD-CMB,TJ-R,대전,-,"0,9"
405,2018,06.10(일),17:00,NC3vs6두산,리뷰,하이라이트,MS-T,KNN-R,잠실,-,"0,9"
406,2018,,17:00,KIAvs롯데,,,SS-T,KNN-RPM-R,사직,우천취소,"0,9"
407,2018,,17:00,LG3vs12삼성,리뷰,하이라이트,SPO-2T,T-R,대구,-,"0,9"
408,2018,,17:00,넥센6vs1KT,리뷰,하이라이트,KN-T,,수원,-,"0,9"
409,2018,,17:00,SK3vs4한화,리뷰,하이라이트,SPO-TD-CMB,TJ-R,대전,-,"0,9"
410,2018,06.12(화),18:30,LG4vs8NC,리뷰,하이라이트,MS-T,KNN-RGM-R,마산,-,"0,9"
411,2018,,18:30,KT2vs3두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
412,2018,,18:30,삼성4vs2롯데,리뷰,하이라이트,SS-T,T-RKNN-RPM-R,사직,-,"0,9"
413,2018,,18:30,SK0vs4KIA,리뷰,하이라이트,KN-TK-CMB,KBC-R,광주,-,"0,9"
414,2018,,18:30,한화6vs2넥센,리뷰,하이라이트,SPO-T,,고척,-,"0,9"
415,2018,06.13(수),18:30,LG3vs6NC,리뷰,하이라이트,MS-T,KNN-R,마산,-,"0,9"
416,2018,,18:30,KT4vs6두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
417,2018,,18:30,삼성9vs10롯데,리뷰,하이라이트,SS-T,T-RKNN-RPM-R,사직,-,"0,9"
418,2018,,18:30,SK5vs4KIA,리뷰,하이라이트,KN-TK-CMB,KBC-R,광주,-,"0,9"
419,2018,,18:30,한화2vs4넥센,리뷰,하이라이트,SPO-T,,고척,-,"0,9"
420,2018,06.14(목),18:30,LG7vs11NC,리뷰,하이라이트,MS-T,KNN-RGM-R,마산,-,"0,9"
421,2018,,18:30,KT8vs9두산,리뷰,하이라이트,SPO-2T,,잠실,-,"0,9"
422,2018,,18:30,삼성11vs9롯데,리뷰,하이라이트,SS-T,T-RKNN-RPM-R,사직,-,"0,9"
423,2018,,18:30,SK9vs2KIA,리뷰,하이라이트,KN-TK-CMB,KBC-R,광주,-,"0,9"
424,2018,,18:30,한화9vs8넥센,리뷰,하이라이트,SPO-T,,고척,-,"0,9"
425,2018,06.15(금),18:30,KT4vs5NC,리뷰,하이라이트,MS-T,KNN-RGM-R,마산,-,"0,9"
426,2018,,18:30,KIA3vs4LG,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
427,2018,,18:30,롯데14vs6SK,리뷰,하이라이트,SPO-T,KNN-RPM-R,문학,-,"0,9"
428,2018,,18:30,삼성2vs9넥센,리뷰,하이라이트,SPO-2T,T-R,고척,-,"0,9"
429,2018,,18:30,두산13vs4한화,리뷰,하이라이트,SS-TD-CMB,TJ-RTM-RDK-R,대전,-,"0,9"
430,2018,06.16(토),17:00,KT1vs5NC,리뷰,하이라이트,MS-T,KNN-RGM-R,마산,-,"0,9"
431,2018,,17:00,KIA3vs4LG,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
432,2018,,17:00,롯데9vs3SK,리뷰,하이라이트,SPO-T,KNN-RPM-R,문학,-,"0,9"
433,2018,,17:00,삼성1vs9넥센,리뷰,하이라이트,SPO-2T,S-RT-R,고척,-,"0,9"
434,2018,,17:00,두산8vs3한화,리뷰,하이라이트,SS-TD-CMB,TJ-R,대전,-,"0,9"
435,2018,06.17(일),17:00,KT5vs4NC,리뷰,하이라이트,MS-T,KNN-RGM-R,마산,-,"0,9"
436,2018,,17:00,KIA6vs9LG,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
